수질측정망 현황,,,,,,,,,,,,,,
측정소명,구분,조사년월,수온(℃),pH,DO(㎎/L),BOD(㎎/L),TOC(㎎/L),SS(㎎/L),총인(T-P)(㎎/L),총질소(T-N)(㎎/L),총대장균군수(총대장균군수),분원성대장균군(㎎/L),수질통합지수 등급,조사기관
우이천a,지천,20210701,18,7.75,9.28,0.2,1.1,0.7,0.01,2.03,6300,3500,73(좋음),서울시보건환경연구원
우이천b,지천,20210701,20.2,7.78,10.39,0.3,1.3,0.5,0.01,3.16,14000,6500,73(좋음),서울시보건환경연구원
우이천c,지천,20210701,20.5,7.92,7.78,0.2,1.3,3.5,0.02,3.35,40000,18000,73(좋음),서울시보건환경연구원
원지천,소하천,20210701,21.6,11.5,9.42,0.4,0.8,1.7,0.03,3.87,85000,5200,70(좋음),서울시보건환경연구원
인수천,소하천,20210701,17.5,7.53,9.37,0.2,1.2,0.7,0.01,2.1,7500,4700,73(좋음),서울시보건환경연구원
잠실,한강본류,20210701,24.7,7.5,7.9,0.9,1.9,11,0.11,2.5,4000,60,,한강유역환경청
정릉천,지천,20210701,21.1,7,8.5,1,2,1.3,0.08,4.61,110000,59000,,서울시보건환경연구원
정릉천a,지천,20210701,22.8,9.04,7.89,0.9,1.5,2.6,0.14,6.22,16000,12000,70(좋음),서울시보건환경연구원
중랑천3,지천,20210701,28.1,7.6,8.3,1.7,3.5,4.7,0.19,6.33,,,,한강물환경 연구소
중랑천4,지천,20210701,26.7,7.5,8,1.3,3,17.4,0.21,5.34,76000,46000,,서울시보건환경연구원
중랑천5,지천,20210701,25.3,7.5,6.4,2.1,3,23,0.16,4.45,23000,12000,,서울시보건환경연구원
중랑천6,지천,20210701,26.6,7.3,6.9,1.9,3.3,13.4,0.15,8.78,47000,27000,,서울시보건환경연구원
중랑천a,지천,20210701,26.4,8.17,6.19,1,2.5,3,0.12,3.74,5000,4800,73(좋음),서울시보건환경연구원
진관실개천,소하천,20210701,23.4,7.93,9.51,0.1,1.4,0.7,0.01,1.85,4700,1800,73(좋음),서울시보건환경연구원
진관천,소하천,20210701,,,,,,,,,,,,서울시보건환경연구원
청계천1,지천,20210701,22.3,7.1,8.9,0.6,1.3,1.7,0.01,1.93,94,67,,서울시보건환경연구원
청계천2,지천,20210701,23.3,6.7,8,0.9,1.4,11.6,0.05,2.1,48000,42000,,서울시보건환경연구원
청계천3,지천,20210701,26,7.3,5.3,2.2,2.4,5.3,0.1,3.3,150000,100000,,서울시보건환경연구원
탄천6,지천,20210701,25.8,6.9,7,1.4,3.5,4.7,0.1,5.85,23000,17000,,서울시보건환경연구원
평창1천,소하천,20210701,21.1,6.99,9.18,0.6,1.5,0.5,0.06,3.55,11000,9900,73(좋음),서울시보건환경연구원
홍제천,지천,20210701,23.7,7.3,8.5,1.2,3,3.6,0.12,5.03,24000,20000,,서울시보건환경연구원
홍제천a,지천,20210701,21.3,7.19,3.78,0.8,1.9,2.6,0.1,6.68,3800,3500,70(좋음),서울시보건환경연구원
홍제천b,지천,20210701,22.4,7.82,6.2,1,2.1,2.2,0.08,6.69,16000,15000,70(좋음),서울시보건환경연구원
진관실개천,소하천,20210601,23.1,8.4,11.7,0.5,1.2,0.8,0.01,1.84,1100,800,78(좋음),서울시보건환경연구원
진관천,소하천,20210601,,,,,,,,,,,,서울시보건환경연구원
청계천1,지천,20210601,18.6,7.8,9.6,0.2,1.4,3,0.01,2.31,120,18,,서울시보건환경연구원
가양,한강본류,20210601,22.3,7.8,8.4,1.9,1.9,12.5,0.09,3.09,524760,8496,,한강유역환경청
가오천,지천,20210601,17.8,8.2,8.5,0.6,1,0.1,0.02,2.64,4200,600,80(좋음),서울시보건환경연구원
감이천,지천,20210601,24,8.3,9.2,1.3,2.9,3.4,0.09,2.18,39000,14000,73(좋음),서울시보건환경연구원
고덕천,지천,20210601,22.3,7.9,9.5,1.5,2,1.6,0.09,2.91,11000,9100,73(좋음),서울시보건환경연구원
고덕천b,지천,20210601,22,7.8,9.3,1.3,1.9,9.8,0.07,2.39,40000,24000,73(좋음),서울시보건환경연구원
구의,한강본류,20210601,21.4,8.4,9.7,1.7,2.2,5.4,0.03,2.1,180,100,,한강물환경 연구소
노량진,한강본류,20210601,22.2,7.7,8.4,1.6,2.2,6.3,0.05,2.69,3026,1194,,한강물환경 연구소
당현천,지천,20210601,21.7,6.7,11.4,0.1,2.3,0.4,0.02,8.6,550,460,78(좋음),서울시보건환경연구원
청계천2,지천,20210601,19.6,7.7,9.2,0.6,1.5,5.1,0.01,2.41,40000,13000,,서울시보건환경연구원
청계천3,지천,20210601,21,7.3,7,1,1.8,4.9,0.05,2.8,30000,18000,,서울시보건환경연구원
탄천6,지천,20210601,21.5,6.6,6.9,1.6,3.5,8.6,0.07,5.78,27000,17000,,서울시보건환경연구원
평창1천,소하천,20210601,19,7,9.7,0.8,1.6,0.6,0.11,4.32,7000,3300,70(좋음),서울시보건환경연구원
홍제천,지천,20210601,20.5,7.6,9.3,1,2,2.4,0.08,4.75,8300,7100,,서울시보건환경연구원
홍제천a,지천,20210601,,,,,,,,,,,,서울시보건환경연구원
홍제천b,지천,20210601,,,,,,,,,,,,서울시보건환경연구원
홍제천c,지천,20210601,,,,,,,,,,,,서울시보건환경연구원
홍제천d,지천,20210601,20.2,8.5,9.7,0.6,1.7,0.9,0.08,6.49,5400,4700,70(좋음),서울시보건환경연구원
화계천,지천,20210601,17.4,8.1,9.3,0.4,1.2,0.1,0.01,2.07,1800,1100,75(좋음),서울시보건환경연구원
대동천,지천,20210601,15.3,8.3,9.4,0.5,0.8,0.1,0.02,2.3,700,57,93(매우 좋음),서울시보건환경연구원
도림천,지천,20210601,20.3,6.7,6.8,1,2.1,2.1,0.11,2.81,7400,4700,,서울시보건환경연구원
도림천a,지천,20210601,22.9,7.7,6,0.9,1.8,13.2,0.1,2.66,1000,260,88(좋음),서울시보건환경연구원
도림천b,지천,20210601,22.4,8.4,9.1,1.1,1.8,6.2,0.07,2.43,5000,2000,73(좋음),서울시보건환경연구원
도림천c,지천,20210601,26.8,7.9,4.7,2.6,2.7,6.2,0.15,1.29,2400,1400,73(좋음),서울시보건환경연구원
도봉천,지천,20210601,25.3,7.1,9.2,1.3,2.5,0.8,0.03,6.5,300000,280000,70(좋음),서울시보건환경연구원
뚝도,한강본류,20210601,22.4,7.6,8.8,1.3,1.8,9.6,0.05,2.73,40000,740,,한강유역환경청
목감천1,지천,20210601,20.8,6.9,6.9,1.9,3.8,4.7,0.16,6.09,66000,21000,,서울시보건환경연구원
묵동천,지천,20210601,23.3,7.5,9.3,0.4,2.3,2.7,0.03,7.94,16000,6000,68(보통),서울시보건환경연구원
반포천a,지천,20210601,22.9,10,8.8,1.3,2.7,4.6,0.14,2.8,190000,26000,73(좋음),서울시보건환경연구원
반포천b,지천,20210601,24.9,9.5,7.9,1.4,2.3,1.8,0.04,3,500000,390000,73(좋음),서울시보건환경연구원
방학천,지천,20210601,25.1,7.4,7.6,0.7,2.3,0.9,0.01,7.68,6100,5500,68(보통),서울시보건환경연구원
백운천,소하천,20210601,16.5,8.4,9.8,0.4,0.8,0.1,0.02,2.02,1200,100,90(매우좋음),서울시보건환경연구원
보광,한강본류,20210601,22.2,7.7,8.9,1.4,1.5,6,0.04,2.56,20000,6500,,한강유역환경청
불광천a,지천,20210601,19.4,7.7,9.4,1.8,1.6,1.3,0.06,5.85,28000,16000,70(좋음),서울시보건환경연구원
불광천b,지천,20210601,20.8,7.9,8.5,1.1,1.3,0.9,0.05,6.37,8900,4300,70(좋음),서울시보건환경연구원
불광천c,지천,20210601,22.5,8,6.5,5.1,2.6,9.7,0.13,4.23,8000,3400,70(좋음),서울시보건환경연구원
성내천,지천,20210601,20,6.7,2.8,1.7,2.5,25.6,0.17,2.87,8200,6600,,서울시보건환경연구원
성내천a,지천,20210601,24.9,8.6,9.6,0.9,2,4.6,0.04,2.59,4600,3700,73(좋음),서울시보건환경연구원
성북천,지천,20210601,20,7.2,6.4,1.4,1.5,2.9,0.07,4.13,18000,12000,,서울시보건환경연구원
세곡천a,지천,20210601,22.9,10,8.8,1.3,2.7,4.6,0.14,2.8,190000,26000,73(좋음),서울시보건환경연구원
세곡천b,지천,20210601,20.3,7.8,8.3,0.8,1.8,2.8,0.09,2.07,47000,9000,73(좋음),서울시보건환경연구원
안양천9,지천,20210601,24,7.6,6.1,3.8,5.5,17.1,0.19,7.19,17000,7400,,한강물환경 연구소
안양천10,지천,20210601,22.5,7.2,6.2,2.4,4.1,20,0.1,5.7,23000,9000,,서울시보건환경연구원
안양천a,지천,20210601,23.8,7.1,7.1,1.9,4.8,5.7,0.05,6.21,46000,36000,68(보통),서울시보건환경연구원
안양천b,지천,20210601,23.9,7.1,7.1,1.8,4.9,4.8,0.06,6.38,38000,23000,68(보통),서울시보건환경연구원
안양천c,지천,20210601,21.8,7.2,3,2.5,3.6,5.2,0.22,5.32,68000,35000,65(보통),서울시보건환경연구원
암사,한강본류,20210601,21.4,8.1,10.4,1.2,1.5,8.2,0.03,1.99,7300,20,,한강유역환경청
양재천2,지천,20210601,20,6.8,8.5,0.8,2.2,8.5,0.07,4.55,63000,30000,,서울시보건환경연구원
양재천a,지천,20210601,21.4,9.9,8.2,1.5,2.7,32.2,0.05,2.96,220000,120000,73(좋음),서울시보건환경연구원
여의천,지천,20210601,22.3,9.6,8.9,1.4,1.9,6.8,0.05,2.84,73000,36000,73(좋음),서울시보건환경연구원
영등포,한강본류,20210601,23,7.6,8.3,1.2,1.7,9,0.05,2.66,6500,130,,한강유역환경청
우이천,지천,20210601,20.5,7.6,10.3,1.7,2.5,25.6,0.17,2.87,8200,6600,,서울시보건환경연구원
우이천a,지천,20210601,17.6,8.7,9.2,0.5,1,0.1,0.03,1.78,33000,1000,75(좋음),서울시보건환경연구원
우이천b,지천,20210601,21.7,9,13.5,0.8,1.6,0.5,0.02,4.09,3700,250,85(좋음),서울시보건환경연구원
우이천c,지천,20210601,20.3,8.3,6.2,1.1,1.7,0.8,0.04,4.71,13000,3700,70(좋음),서울시보건환경연구원
원지천,소하천,20210601,24.9,9.5,7.9,1.4,2.3,1.8,0.04,3,500000,390000,73(좋음),서울시보건환경연구원
인수천,소하천,20210601,16.5,8.6,9.6,0.3,1,0.2,0.03,2,5900,400,83(좋음),서울시보건환경연구원
잠실,한강본류,20210601,21.3,7.8,10,1.3,1.4,7.4,0.03,2.07,5500,80,,한강유역환경청
정릉천,지천,20210601,18.6,7.3,7.1,0.9,1.3,1.1,0.1,4.75,32000,14000,,서울시보건환경연구원
정릉천a,지천,20210601,19.4,8.7,9.2,1.3,1.3,0.7,0.09,5.9,8000,6500,70(좋음),서울시보건환경연구원
중랑천3,지천,20210601,23.2,7.4,7.5,2.8,3.9,15.3,0.25,6.28,,,,한강물환경 연구소
중랑천4,지천,20210601,20,7.2,7.7,1.4,2.8,17.1,0.15,5.48,91000,72000,,서울시보건환경연구원
중랑천5,지천,20210601,20.6,7.2,7.4,1.5,2.5,25.8,0.11,5.18,48000,40000,,서울시보건환경연구원
중랑천6,지천,20210601,21.7,6.5,7.1,2,3.6,7.2,0.17,9.3,23000,10000,,서울시보건환경연구원
중랑천a,지천,20210601,20.7,7.8,6.9,1.4,2.7,7.6,0.13,5.35,2000,800,75(좋음),서울시보건환경연구원
청계천2,지천,20210501,15,7.4,10.8,0.6,1.3,2.5,0.01,2.38,11000,4400,,서울시보건환경연구원
청계천3,지천,20210501,19.4,7.5,9,1.1,1.8,2.3,0.07,3.18,43000,24000,,서울시보건환경연구원
도림천,지천,20210501,,,,,,,,,,,,서울시보건환경연구원
탄천6,지천,20210501,18.6,7,8.1,1.9,3.3,2.6,0.09,6.07,21000,9000,,서울시보건환경연구원
평창1천,소하천,20210501,14.6,7,9.2,0.5,1.4,3.1,0.06,4.84,16000,11000,70(좋음),서울시보건환경연구원
홍제천,지천,20210501,15.5,8.6,11.6,1,1.9,1.8,0.06,6.73,16000,7200,,서울시보건환경연구원
홍제천a,지천,20210501,15.6,7.4,6.1,1.2,1.9,5.4,0.09,11.52,4800,1900,68(보통),서울시보건환경연구원
홍제천b,지천,20210501,16.6,7.8,6.6,5.7,1.9,15,0.1,7.42,30000,17000,70(좋음),서울시보건환경연구원
홍제천c,지천,20210501,16.7,7.6,8.1,2.7,1.8,9.8,0.07,6.67,19000,8000,70(좋음),서울시보건환경연구원
홍제천d,지천,20210501,16,8.5,10.1,2.1,1.7,2.7,0.05,7.81,6800,1000,70(좋음),서울시보건환경연구원
가양,한강본류,20210501,18.8,8.2,9.1,2.1,2,10.3,0.06,3.11,25500,2343,,한강유역환경청
가오천,지천,20210501,11.6,8.6,9.1,0.4,1,2.8,0.01,1.04,3400,160,90(매우좋음),서울시보건환경연구원
감이천,지천,20210501,20.6,8,6.4,1.4,2.7,7.1,0.07,2.39,60000,56000,73(좋음),서울시보건환경연구원
고덕천,지천,20210501,18.7,7.6,9.9,0.3,1.9,5.8,0.1,3.27,95000,42000,73(좋음),서울시보건환경연구원
고덕천b,지천,20210501,16.6,7.5,8.3,0.5,1.9,7.6,0.08,3.01,30000,15000,73(좋음),서울시보건환경연구원
구의,한강본류,20210501,17.8,8.1,9.6,1.2,2.3,7.3,0.03,2.25,520,120,,한강물환경 연구소
노량진,한강본류,20210501,18.4,7.6,8.4,1.8,2.6,11.5,0.08,3.17,10905,3903,,한강물환경 연구소
당현천,지천,20210501,18.9,6.7,12.1,0.3,2.2,0.4,0.01,8.01,500,440,78(좋음),서울시보건환경연구원
대동천,지천,20210501,12.8,8.7,10.5,0.5,0.6,0.1,0.01,2.46,600,80,93(매우좋음),서울시보건환경연구원
도림천a,지천,20210501,,,,,,,,,,,,서울시보건환경연구원
도림천b,지천,20210501,,,,,,,,,,,,서울시보건환경연구원
도림천c,지천,20210501,19,7.5,3.3,7.8,4.3,8.4,0.24,4.7,290000,180000,65(보통),서울시보건환경연구원
도봉천,지천,20210501,20.7,7.4,10,0.3,2.1,0.3,0.02,5.81,18000,10000,70(좋음),서울시보건환경연구원
뚝도,한강본류,20210501,19.4,7.7,9.2,1.6,1.8,4,0.03,2.66,7600,560,,한강유역환경청
목감천1,지천,20210501,18,7.3,8.3,1.4,3.6,8.3,0.18,5.5,31000,12000,,서울시보건환경연구원
묵동천,지천,20210501,21.8,7.2,9.5,0.2,2.2,7.9,0.03,7.9,5500,2500,68(보통),서울시보건환경연구원
반포천a,지천,20210501,20.7,9.2,9.2,1.4,2.3,2.5,0.06,2.41,38000,34000,73(좋음),서울시보건환경연구원
반포천b,지천,20210501,20.8,9.1,9.3,1.4,2.3,2.3,0.07,2.41,52000,27000,73(좋음),서울시보건환경연구원
방학천,지천,20210501,20.5,7.6,9.1,1,2.5,1.7,0.07,6.64,200000,180000,70(좋음),서울시보건환경연구원
백운천,소하천,20210501,21.8,7.2,9.5,0.2,2.2,7.9,0.03,7.9,5500,2500,68(보통),서울시보건환경연구원
보광,한강본류,20210501,20.3,7.3,7.8,1.8,2.1,4.6,0.11,5.01,18000,2000,,한강유역환경청
불광천a,지천,20210501,,,,,,,,,,,,서울시보건환경연구원
불광천b,지천,20210501,,,,,,,,,,,,서울시보건환경연구원
불광천c,지천,20210501,20.5,8,7,4.8,2.6,5.4,0.18,6.56,15000,6000,70(좋음),서울시보건환경연구원
성내천,지천,20210501,16.6,7.2,5.1,3.1,3.1,13.8,0.16,3.36,9000,4400,,서울시보건환경연구원
성내천a,지천,20210501,21.8,8.4,9.5,1,2,6.1,0.04,2.56,20000,10000,73(좋음),서울시보건환경연구원
성북천,지천,20210501,14,7.2,8,0.9,1.3,1.1,0.02,4.57,50000,29000,,서울시보건환경연구원
세곡천a,지천,20210501,19.8,9.2,8.6,2,1.9,5.1,0.12,2.84,76000,20000,73(좋음),서울시보건환경연구원
세곡천b,지천,20210501,19.9,7.7,9.9,0.9,2,2.1,0.07,2.3,46000,38000,73(좋음),서울시보건환경연구원
안양천9,지천,20210501,19.9,7.4,6.2,5.1,6,22,0.23,8.33,320000,36000,,한강물환경 연구소
안양천10,지천,20210501,17.5,6.9,3.9,5.8,4.1,9.2,0.18,6.23,400000,200000,,서울시보건환경연구원
안양천a,지천,20210501,22,7.7,8.3,2.6,5.1,2.8,0.09,7.87,20000,8300,65(보통),서울시보건환경연구원
안양천b,지천,20210501,22.7,7.5,8.2,2.4,5.4,3,0.13,8.01,24000,8800,65(보통),서울시보건환경연구원
안양천c,지천,20210501,20.7,6.3,3.5,3.8,4.8,4.3,0.12,6.77,35000,16000,68(보통),서울시보건환경연구원
암사,한강본류,20210501,17.6,7.5,9.9,1.1,1.8,4,0.02,2.32,2900,110,,한강유역환경청
양재천2,지천,20210501,15.7,7,10.6,1.3,2,16.3,0.07,4.05,24000,20000,,서울시보건환경연구원
양재천a,지천,20210501,17.3,9.1,9.8,1.2,2,9.4,0.05,4.9,33000,25000,70(좋음),서울시보건환경연구원
여의천,지천,20210501,17.6,9.3,11.8,0.6,1.2,1,0.03,3.31,20000,6600,73(좋음),서울시보건환경연구원
영등포,한강본류,20210501,19.6,7.6,9.5,1.9,1.8,7.2,0.06,3.16,11000,160,,한강유역환경청
우이천,지천,20210501,21.4,7.8,11.2,1.2,2,7.9,0.06,4.03,21000,8000,,서울시보건환경연구원
우이천a,지천,20210501,13.4,8.5,10.1,1.3,0.8,0.1,0.01,2.3,1300,220,88(좋음),서울시보건환경연구원
우이천b,지천,20210501,13.2,8.1,9,0.3,0.9,0.1,0.01,3.2,1300,650,80(좋음),서울시보건환경연구원
우이천c,지천,20210501,13,8.2,9.9,0.4,1,4.2,0.01,2.65,5700,8,95(매우좋음),서울시보건환경연구원
원지천,소하천,20210501,19.1,9.5,11.2,0.3,1.6,1.2,0.05,3.4,16000,9000,73(좋음),서울시보건환경연구원
인수천,소하천,20210501,18.9,6.7,12.1,0.3,2.2,0.4,0.01,8.01,500,440,78(좋음),서울시보건환경연구원
잠실,한강본류,20210501,18.1,8,10.5,1.3,1.7,4.4,0.03,2.44,600,69,,한강유역환경청
정릉천,지천,20210501,14.3,7.4,10.9,0.7,1.4,0.9,0.07,5.31,47000,28000,,서울시보건환경연구원
정릉천a,지천,20210501,16.1,8.8,9.7,0.7,1.1,0.2,0.1,7.02,10000,7000,70(좋음),서울시보건환경연구원
중랑천3,지천,20210501,20.1,7.8,7.9,3,4,22.9,0.31,6.86,,,,한강물환경 연구소
중랑천4,지천,20210501,18.9,7.4,9.3,0.5,2.8,8.7,0.2,5.88,77000,33000,,서울시보건환경연구원
중랑천5,지천,20210501,16.6,7.7,9.4,0.7,2.5,9.8,0.13,5.02,74000,21000,,서울시보건환경연구원
중랑천6,지천,20210501,20.4,7.5,9.2,1.1,3.3,4,0.16,9.09,20000,6600,,서울시보건환경연구원
중랑천a,지천,20210501,22.5,7.8,7,2.1,2.9,5.4,0.13,6.3,4000,1700,70(좋음),서울시보건환경연구원
진관실개천,소하천,20210501,,,,,,,,,,,,서울시보건환경연구원
진관천,소하천,20210501,,,,,,,,,,,,서울시보건환경연구원
청계천1,지천,20210501,15.2,6.8,10.4,0.6,1.2,3.6,0.01,2.23,1000,180,,서울시보건환경연구원
가양,한강본류,20210401,16,8.6,11.3,3.5,2.4,13.1,0.1,4.07,52750,975,,한강유역환경청
가오천,지천,20210401,9.3,8.1,11.5,0.5,0.9,0.7,0,4.19,32000,27000,70(좋음),서울시보건환경연구원
감이천,지천,20210401,16.9,8.5,12.1,2.3,2.6,5,0.08,2.24,19000,6800,73(좋음),서울시보건환경연구원
당현천,지천,20210401,17,6.7,13.8,1.3,2.4,0.6,0.04,7.83,730,550,75(좋음),서울시보건환경연구원
고덕천b,지천,20210401,11.5,9.6,9.5,0.4,2,2.3,0.08,3.83,38000,7200,70(좋음),서울시보건환경연구원
구의,한강본류,20210401,14.7,8.8,11.1,2.1,2.7,8.9,0.03,2.4,410,150,,한강물환경 연구소
노량진,한강본류,20210401,15.7,8.2,10.6,3.2,3.6,12.4,0.09,3.76,10210,2013,,한강물환경 연구소
고덕천,지천,20210401,13,8.1,11.6,1,2.1,22.2,0.14,3.64,130000,10000,,서울시보건환경연구원
홍제천,지천,20210301,7.9,7.1,11.7,2,1.6,3,0.03,7.46,28000,19000,,서울시보건환경연구원
홍제천a,지천,20210301,14.2,7,8.1,1,1.8,3.1,0.08,10.14,9200,4300,68(보통),서울시보건환경연구원
홍제천b,지천,20210301,14.2,7.4,10.8,1.3,1.7,2.8,0.06,8.81,5700,4700,68(보통),서울시보건환경연구원
홍제천c,지천,20210301,14.2,7.4,11.1,1.7,1.7,3.2,0.05,8.5,11000,4300,68(보통),서울시보건환경연구원
홍제천d,지천,20210301,12.3,9.2,14.9,0.5,1.5,1.8,0.03,7.62,2300,960,73(좋음),서울시보건환경연구원
화계천,지천,20210301,4.9,8.1,13.2,0.1,0.8,0.2,0.02,3.41,350,97,93(매우 좋음),서울시보건환경연구원
가양,한강본류,20210301,9.6,8.1,12,4.2,3.1,13.3,0.08,4.51,241120,7004,,한강유역환경청
가오천,지천,20210301,5,8,12.1,0.1,0.7,0.1,0.02,3.31,400,140,90(매우 좋음),서울시보건환경연구원
감이천,지천,20210301,11.3,8.8,13.7,2,2.6,5.8,0.06,2.44,3500,900,78(좋음),서울시보건환경연구원
고덕천a,지천,20210301,6.8,7.9,11.4,2.9,2.3,11,0.09,4.23,140000,62000,70(좋음),서울시보건환경연구원
고덕천b,지천,20210301,9.2,9.4,12.3,1.1,1.8,3.2,0.08,3.37,33000,12000,73(좋음),서울시보건환경연구원
구의,한강본류,20210301,8.1,8.6,13,2.3,2.6,9.4,0.04,2.7,200,30,,한강물환경 연구소
노량진,한강본류,20210301,10.3,7.7,11.1,3,3.2,8.9,0.09,4.87,21272,7620,,한강물환경 연구소
당현천,지천,20210301,15.5,7.1,10.9,0.6,2.6,0.7,0.01,8.76,2000,1000,70(좋음),서울시보건환경연구원
대동천,지천,20210301,5.7,8.3,12.8,0.1,0.6,0.2,0.01,3.58,130,6,95(매우 좋음),서울시보건환경연구원
도림천,지천,20210301,5.5,6.9,11.6,3.2,1.8,6,0.08,3.74,33000,19000,,서울시보건환경연구원
도림천a,지천,20210301,10.3,7.9,9,1.2,2.5,4.6,0.04,4.23,900,240,85(좋음),서울시보건환경연구원
도림천b,지천,20210301,11.9,8.9,13.8,1.4,2.1,4.8,0.03,3.48,1500,390,85(좋음),서울시보건환경연구원
도림천c,지천,20210301,8.4,7.8,11.6,0.1,1.9,3.9,0.03,2.4,3000,1700,73(좋음),서울시보건환경연구원
도봉천,지천,20210301,14.8,7.4,10.7,0.1,3.1,0.9,0.03,7.78,7100,2500,68(보통),서울시보건환경연구원
뚝도,한강본류,20210301,8,8.1,13.1,2.4,2.1,8,0.03,3.13,13000,1300,,한강유역환경청
목감천1,지천,20210301,8.5,6.5,9.5,3.3,3.7,9.6,0.13,7.2,860000,700000,,서울시보건환경연구원
묵동천,지천,20210301,17.6,7.2,12.1,1.1,2.7,0.4,0.01,9.09,1700,850,73(좋음),서울시보건환경연구원
반포천a,지천,20210301,9.9,8.7,12.3,1.6,2.4,3.8,0.05,3.97,2900,1100,73(좋음),서울시보건환경연구원
반포천b,지천,20210301,9.5,8.4,12.8,1.8,2.6,4.9,0.04,4.37,3500,1900,70(좋음),서울시보건환경연구원
방학천,지천,20210301,14.1,7.2,11.3,0.6,2.8,1.5,0.02,7.38,6700,2800,70(좋음),서울시보건환경연구원
백운천,소하천,20210301,4.2,8.2,13.2,0.1,0.6,0.1,0.01,3.01,220,100,90(매우 좋음),서울시보건환경연구원
보광,한강본류,20210301,9.6,7,10.7,3,3.1,11.8,0.08,6.97,14000,220,,한강유역환경청
불광천a,지천,20210301,14.2,8.5,11.7,1.8,1.1,0.4,0.05,8,4900,1300,70(좋음),서울시보건환경연구원
불광천b,지천,20210301,13.3,8.2,11,2.4,1.6,1.3,0.05,9.56,4500,1800,68(보통),서울시보건환경연구원
불광천c,지천,20210301,12.7,8.1,12.2,0.5,1.7,2.4,0.04,7.36,3000,1600,70(좋음),서울시보건환경연구원
성내천,지천,20210301,5.6,7.5,9.9,2.7,2.4,35.6,0.15,3.57,220000,36000,,서울시보건환경연구원
성내천a,지천,20210301,12.4,9,14,1.7,1.9,21.4,0.06,2.93,4800,2200,73(좋음),서울시보건환경연구원
성북천,지천,20210301,8.9,7.2,11.4,1.5,1.2,5.2,0.02,5.18,14000,8700,,서울시보건환경연구원
세곡천a,지천,20210301,16,9.9,18.5,2.4,2.1,1.6,0.09,2.6,44000,2300,73(좋음),서울시보건환경연구원
세곡천b,지천,20210301,7.7,75,11.9,1.7,1.9,2.6,0.09,3.09,20000,18000,73(좋음),서울시보건환경연구원
안양천9,지천,20210301,13.3,7.4,8.5,5.9,6.1,12.9,0.13,10.14,31000,7000,,한강물환경 연구소
안양천10,지천,20210301,9.3,6.8,9.3,5.3,3.9,43,0.08,7.97,140000,91000,,서울시보건환경연구원
안양천a,지천,20210301,19.2,8,10.4,1.7,6.3,2.8,0.07,8.6,20000,6300,65(보통),서울시보건환경연구원
안양천b,지천,20210301,19.6,7.6,11.1,2.6,6,2.8,0.03,8,34000,14000,65(보통),서울시보건환경연구원
안양천c,지천,20210301,11.4,6.2,8,1.9,5,3.7,0.07,7.2,30000,29000,68(보통),서울시보건환경연구원
암사,한강본류,20210301,,,,,,,,,,,,한강유역환경청
양재천2,지천,20210301,5.7,6.6,12.3,2.1,1.9,9.8,0.04,4.44,28000,15000,,서울시보건환경연구원
양재천a,지천,20210301,9.3,8.3,11.3,1.1,1.9,3.4,0.03,4.71,9400,4100,70(좋음),서울시보건환경연구원
여의천,지천,20210301,11.3,9,13.8,1.3,1.7,2.7,0.02,4.01,5700,3700,70(좋음),서울시보건환경연구원
영등포,한강본류,20210301,7.5,7.4,12.8,2.8,2.2,8.2,0.04,4.23,29000,1200,,한강유역환경청
우이천,지천,20210301,9.1,7.7,13.3,1.6,1.4,11.8,0.02,4.96,24000,9400,,서울시보건환경연구원
우이천a,지천,20210301,5.1,8.5,13.3,0.1,0.7,0.1,0.02,2.87,260,80,93(매우 좋음),서울시보건환경연구원
우이천b,지천,20210301,9,8.4,15.1,0.2,1.7,0.4,0.01,5.22,2900,880,75(좋음),서울시보건환경연구원
우이천c,지천,20210301,8.2,8.4,10,0.2,1.7,1,0.01,7.08,5000,3600,70(좋음),서울시보건환경연구원
원지천,소하천,20210301,13.4,9.4,12.9,1.1,0.7,0.8,0.01,4.67,1500,78,90(매우 좋음),서울시보건환경연구원
인수천,소하천,20210301,5.7,8.4,12.8,0.1,0.7,0.4,0.03,3.62,600,130,90(매우 좋음),서울시보건환경연구원
잠실,한강본류,20210301,8.8,8.8,12.6,2.3,1.8,10.8,0.03,2.54,8400,690,,한강유역환경청
정릉천,지천,20210301,8.8,7.3,11.4,1.3,1,1.8,0.04,6.02,22000,12000,,서울시보건환경연구원
정릉천a,지천,20210301,9.4,8.8,11.4,0.1,1,0.6,0.06,7.04,16000,13000,70(좋음),서울시보건환경연구원
중랑천3,지천,20210301,14.6,7.5,10.5,3.3,4.6,10.2,0.23,9.52,,,,한강물환경 연구소
중랑천4,지천,20210301,9.9,7.5,10.5,2.5,3.4,9.8,0.14,7.98,73000,34000,,서울시보건환경연구원
중랑천5,지천,20210301,7.1,7.5,10.7,3.6,2.9,18.2,0.11,7.44,120000,42000,,서울시보건환경연구원
중랑천6,지천,20210301,11.9,6.8,9.9,4.1,3.9,10.4,0.23,12.87,140000,57000,,서울시보건환경연구원
중랑천a,지천,20210301,11.1,8.3,8.6,1.3,3.4,30.7,0.01,7.27,3700,3000,68(보통),서울시보건환경연구원
진관실개천,소하천,20210301,9.9,8.8,12.7,1.2,1.3,0.3,0.01,1.94,290,9,95(매우 좋음),서울시보건환경연구원
