수질측정망 현황,,,,,,,,,,,,,,
측정소명,구분,조사년월,수온(℃),pH,DO(㎎/L),BOD(㎎/L),TOC(㎎/L),SS(㎎/L),총인(T-P)(㎎/L),총질소(T-N)(㎎/L),총대장균군수(총대장균군수),분원성대장균군(㎎/L),수질통합지수 등급,조사기관
고덕천,지천,20220801,24.4,7.3,8.5,1.2,2.9,22.8,0.13,4.04,110000,100000,,서울시보건환경연구원
고덕천b,지천,20220801,25.1,7.79,5.23,0.7,2.4,13.9,0.11,2.13,30000,18000,73(좋음),서울시보건환경연구원
구의,한강본류,20220801,22.2,8.1,9.1,0.7,2.5,9.2,0.05,2.48,730,470,,한강물환경 연구소
노량진,한강본류,20220801,23.7,8,8.3,1.7,3,9.9,0.07,2.87,48625,17200,,한강물환경 연구소
당현천,지천,20220801,24.6,7.21,7.64,1.2,2.4,0.8,0.07,7.47,21000,12000,70(좋음),서울시보건환경연구원
대동천,지천,20220801,20.4,7.79,8.78,0.1,1.6,0.1,0,1.47,7500,1500,73(좋음),서울시보건환경연구원
중랑천5,지천,20220801,24.5,7.5,7.7,1,2.4,10.9,0.13,3.41,360000,330000,,서울시보건환경연구원
중랑천6,지천,20220801,25.3,7.2,6.2,3,3.4,10.3,0.29,6.44,1000000,350000,,서울시보건환경연구원
중랑천a,지천,20220801,26.3,8.1,5.6,1.6,2.5,7.9,0.14,4.59,23000,14000,70(좋음),서울시보건환경연구원
진관실개천,소하천,20220801,21.3,8.6,11.85,0.3,1.1,0.5,0.01,1.61,1600,1100,75(좋음),서울시보건환경연구원
진관천,소하천,20220801,,,,,,,,,,,,서울시보건환경연구원
청계천1,지천,20220801,25.1,7.6,8.4,0.6,1.3,1.5,0.01,2.02,470,360,,서울시보건환경연구원
청계천2,지천,20220801,25.6,7.4,7.3,1,1.8,4.5,0.04,2.65,70000,17000,,서울시보건환경연구원
청계천3,지천,20220801,26.2,7.3,7.5,1.2,2.4,1.4,0.1,3,60000,26000,,서울시보건환경연구원
탄천6,지천,20220801,26,6.9,7.5,1.1,2.9,9.3,0.1,3.56,610000,220000,,서울시보건환경연구원
평창1천,소하천,20220801,22.2,6.97,7.87,0.7,1.8,0.3,0.09,2.43,45000,28000,73(좋음),서울시보건환경연구원
홍제천,지천,20220801,24.9,8.1,8.8,0.8,2.6,1.8,0.08,3.31,31000,17000,,서울시보건환경연구원
홍제천a,지천,20220801,,,,,,,,,,,,서울시보건환경연구원
홍제천b,지천,20220801,,,,,,,,,,,,서울시보건환경연구원
홍제천c,지천,20220701,,,,,,,,,,,,서울시보건환경연구원
홍제천d,지천,20220701,24.5,8.67,9.95,1.1,1.8,0.3,0.078,5.895,6700,4700,70(좋음),서울시보건환경연구원
화계천,지천,20220701,21,7.8,8.4,0.1,1.6,0.2,0.017,1.821,6300,2300,73(좋음),서울시보건환경연구원
도림천c,지천,20220701,26,7.68,5.52,2.4,3,3.7,0.183,4.114,5100,3600,70(좋음),서울시보건환경연구원
도봉천,지천,20220701,23.2,7.25,8.66,0.4,2.1,0.2,0.043,4.554,43000,15000,70(좋음),서울시보건환경연구원
뚝도,한강본류,20220701,23.8,7.5,8.3,1.1,2.9,14,0.103,3.124,440000,25000,,한강유역환경청
목감천1,지천,20220701,26.6,7.5,3.8,4.9,5.2,20,0.291,5.328,290000,76000,,서울시보건환경연구원
묵동천,지천,20220701,27,7.13,9.8,0.8,2.2,1.4,0.055,6.352,7700,6900,70(좋음),서울시보건환경연구원
반포천a,지천,20220701,25.4,7.9,8.8,2.8,2.2,2.3,0.116,3.556,53000,52000,73(좋음),서울시보건환경연구원
반포천b,지천,20220701,27,7.8,8.4,1.2,1.8,3.6,0.068,2.451,6400,3400,73(좋음),서울시보건환경연구원
방학천,지천,20220701,24.4,7.42,7.73,0.6,2.2,0.6,0.094,6.009,380000,230000,70(좋음),서울시보건환경연구원
백운천,소하천,20220701,19.5,8,8.9,0.1,0.9,0.1,0.02,1.45,3200,900,78(좋음),서울시보건환경연구원
보광,한강본류,20220701,23.7,7.5,8.4,1.1,3,12,0.107,3.146,210000,10000,,한강유역환경청
불광천a,지천,20220701,23.7,7.94,9.9,6,2.1,2.8,0.27,9.716,71000,59000,65(보통),서울시보건환경연구원
불광천b,지천,20220701,25,7.76,8.9,4.2,2.1,2.3,0.267,8.163,19000,18000,65(보통),서울시보건환경연구원
불광천c,지천,20220701,29.3,8.26,11.17,3.1,2.4,4.2,0.152,5.701,12000,8700,70(좋음),서울시보건환경연구원
성내천,지천,20220701,26.6,7.2,2.3,9,3.4,46.3,0.216,3.856,160000,83000,,서울시보건환경연구원
성내천a,지천,20220701,25.8,7.9,8.4,2.3,2.1,6,0.114,3.471,15000,8000,73(좋음),서울시보건환경연구원
성북천,지천,20220701,25,7.2,6.5,3,2.6,1.6,0.114,3.126,400000,320000,,서울시보건환경연구원
세곡천a,지천,20220701,26.6,7.8,8.3,1.1,1.9,2.1,0.09,2.502,17000,9600,73(좋음),서울시보건환경연구원
세곡천b,지천,20220701,23.8,8.5,7.4,3.5,3.6,13.2,0.125,3.608,390000,230000,70(좋음),서울시보건환경연구원
안양천9,지천,20220701,26.8,7.5,6.6,3.7,4.5,20.2,0.163,4.611,130000,90000,,한강물환경 연구소
안양천10,지천,20220701,27,7.5,3.4,9.4,4.6,8.7,0.286,5.055,230000,210000,,서울시보건환경연구원
안양천a,지천,20220701,27.8,7.39,15.91,1.3,4,1.3,0.048,4.726,33000,29000,68(보통),서울시보건환경연구원
안양천b,지천,20220701,29.4,8.84,17.1,2.4,4,2,0.073,4.665,22000,17000,68(보통),서울시보건환경연구원
안양천c,지천,20220701,26,7.72,5.47,1.9,3.5,12.2,0.124,5.44,21000,20000,68(보통),서울시보건환경연구원
암사,한강본류,20220701,24.8,7.6,8.6,0.6,2.4,8,0.041,2.456,58000,120,,한강유역환경청
양재천2,지천,20220701,25.5,6.5,7,3.7,2.8,22.5,0.152,3.505,73000,24000,,서울시보건환경연구원
양재천a,지천,20220701,24.2,7.8,8.6,1.1,1.8,4.2,0.057,3.424,57000,36000,73(좋음),서울시보건환경연구원
여의천,지천,20220701,22.9,8,10.4,0.8,1.3,0.5,0.043,3.069,8800,6800,73(좋음),서울시보건환경연구원
영등포,한강본류,20220701,23.7,7.4,7.9,1,2.7,24,0.109,2.909,50000,2600,,한강유역환경청
우이천,지천,20220701,25.6,7.4,8.2,3.2,2.8,2.8,0.139,3.981,210000,52000,,서울시보건환경연구원
우이천a,지천,20220701,19.3,8.3,8.8,1.2,1.2,0.1,0.023,1.698,41000,21000,73(좋음),서울시보건환경연구원
우이천b,지천,20220701,21.8,7.9,8.5,0.6,1.6,0.8,0.059,4.243,42000,21000,70(좋음),서울시보건환경연구원
우이천c,지천,20220701,22.2,8.2,5.8,1.3,1.9,1.4,0.101,4.866,80000,60000,70(좋음),서울시보건환경연구원
원지천,소하천,20220701,27.4,7.9,9.1,0.9,1.5,0.7,0.045,3.58,5700,1800,73(좋음),서울시보건환경연구원
인수천,소하천,20220701,18.7,8.1,9,0.2,1.2,0.3,0.023,1.636,45000,25000,73(좋음),서울시보건환경연구원
잠실,한강본류,20220701,25.4,7.7,9,1.8,2.7,6.6,0.045,2.492,200000,30,,한강유역환경청
정릉천,지천,20220701,24.5,7.5,6.3,2.4,2.5,1.5,0.227,4.715,280000,170000,,서울시보건환경연구원
정릉천a,지천,20220701,22.8,8.5,8.33,1,1.4,0.4,0.139,6.187,40000,38000,70(좋음),서울시보건환경연구원
중랑천5,지천,20220701,25.5,7.9,7.7,2.7,3.7,19.1,0.198,5.118,,,,한강물환경 연구소
중랑천6,지천,20220701,24.4,7.6,7,2.6,2.9,24.6,0.207,5.086,410000,310000,,서울시보건환경연구원
중랑천5,지천,20220701,25.9,7.4,5.8,3.6,3.2,6.1,0.183,3.898,270000,210000,,서울시보건환경연구원
중랑천6,지천,20220701,26.4,7.1,6.2,3.9,3.3,3.6,0.157,7.7,210000,130000,,서울시보건환경연구원
중랑천a,지천,20220701,26.3,8.1,4.3,4.7,2.3,3.2,0.177,4.412,58000,27000,70(좋음),서울시보건환경연구원
가양,한강본류,20220701,24.6,7.4,7.9,1.4,2.7,20,0.084,2.999,97000,2190,,한강유역환경청
가오천,지천,20220701,20.3,7.9,8.5,0.1,1.4,0.1,0.02,2.142,23000,2500,73(좋음),서울시보건환경연구원
감이천,지천,20220701,24.8,7.3,5.2,1.8,4.4,22,0.178,3.516,41000,36000,70(좋음),서울시보건환경연구원
고덕천,지천,20220701,27.2,7.9,5.7,1.2,1.8,4.7,0.092,3.484,42000,27000,73(좋음),서울시보건환경연구원
고덕천b,지천,20220701,24.8,7.9,7.1,0.9,1.7,1.2,0.081,2.502,36000,28000,73(좋음),서울시보건환경연구원
구의,한강본류,20220701,24.3,8,9.1,1.4,3.1,20.2,0.078,2.511,2900,900,,한강물환경 연구소
노량진,한강본류,20220701,24.6,7.9,8.2,1.8,3.6,17.5,0.1,3.116,62675,15625,,한강물환경 연구소
당현천,지천,20220701,25.2,7.19,11.82,0.4,2.4,0.7,0.059,8.251,2400,1100,70(좋음),서울시보건환경연구원
대동천,지천,20220701,18.2,7.8,8.9,0.1,1.1,0.1,0.016,1.581,900,280,88(좋음),서울시보건환경연구원
도림천,지천,20220701,24.4,7.8,7.2,1.6,2.7,2.6,0.164,3.953,210000,160000,,서울시보건환경연구원
도림천a,지천,20220701,27,7.97,9.61,2.8,2.3,9.6,0.161,2.541,26000,13000,73(좋음),서울시보건환경연구원
도림천b,지천,20220701,27,9.05,9.61,2.3,2.1,3.5,0.159,3.279,4800,4700,73(좋음),서울시보건환경연구원
진관실개천,소하천,20220701,22.3,7.33,7.34,0.5,1,0.1,0.006,1.417,3500,1900,73(좋음),서울시보건환경연구원
진관천,소하천,20220701,,,,,,,,,,,,서울시보건환경연구원
청계천1,지천,20220701,23.3,7,8.5,0.4,1.5,1.7,0.01,2.921,2800,2300,,서울시보건환경연구원
청계천2,지천,20220701,24.5,7.5,5.3,1.5,1.9,2.7,0.034,2.563,560000,100000,,서울시보건환경연구원
청계천3,지천,20220701,27.1,7.2,3.4,4.6,3.6,4.8,0.252,3.501,670000,350000,,서울시보건환경연구원
탄천6,지천,20220701,26.6,6.8,6,2.3,3.7,7.4,0.119,5.51,370000,130000,,서울시보건환경연구원
평창1천,소하천,20220701,21.8,6.97,8.7,0.4,1.8,0.1,0.094,3.383,13000,8000,73(좋음),서울시보건환경연구원
홍제천,지천,20220701,24.7,7.8,7.7,2.6,2.6,2.2,0.109,3.929,240000,150000,,서울시보건환경연구원
홍제천a,지천,20220701,,,,,,,,,,,,서울시보건환경연구원
홍제천b,지천,20220701,,,,,,,,,,,,서울시보건환경연구원
홍제천c,지천,20220601,19.3,8.38,7.2,2,2.1,3.7,0.049,7.777,8000,1900,68(보통),서울시보건환경연구원
홍제천d,지천,20220601,22.2,9.27,10.58,0.6,1.4,1.2,0.029,5.862,6800,4400,70(좋음),서울시보건환경연구원
화계천,지천,20220601,16.7,7.7,6.4,0.9,1.8,0.3,0.03,0.999,3800,790,78(좋음),서울시보건환경연구원
목감천1,지천,20220601,25.8,7.7,8.2,2.2,5.3,10.9,0.255,8.221,22000,17000,,서울시보건환경연구원
묵동천,지천,20220601,24.9,7.19,11.57,0.9,2.2,3.1,0.029,7.711,640,3300,68(보통),서울시보건환경연구원
반포천a,지천,20220601,24.8,7.1,8.1,19.7,4.902,11.3,0.503,6.865,6100000,3400000,65(보통),서울시보건환경연구원
반포천b,지천,20220601,24.6,7.4,8.2,19.2,5.015,13.8,0.559,7.325,7600000,5300000,65(보통),서울시보건환경연구원
방학천,지천,20220601,22.7,8.45,11.84,1.1,2.5,1.3,0.014,6.715,95000,63000,70(좋음),서울시보건환경연구원
백운천,소하천,20220601,17.9,8.2,9.4,0.7,0.9,0.1,0.008,3.052,1500,960,78(좋음),서울시보건환경연구원
보광,한강본류,20220601,21.7,7.3,6.4,0.9,3.2,9.2,0.118,4.732,73000,6000,,한강유역환경청
불광천a,지천,20220601,22.2,8.21,11.12,4.4,1.3,1.3,0.089,8.036,7000,3800,68(보통),서울시보건환경연구원
불광천b,지천,20220601,23.2,8.27,13.59,3.6,2,6.2,0.086,7.493,31000,3000,70(좋음),서울시보건환경연구원
불광천c,지천,20220601,26.5,8.69,7.37,2.4,2.1,3.6,0.069,4.631,2000,900,75(좋음),서울시보건환경연구원
성내천,지천,20220601,23.1,7.6,7.2,2.4,2.4,32.8,0.139,1.584,7500,3400,,서울시보건환경연구원
성내천a,지천,20220601,24.1,8,8.1,1,1.6,98.7,0.151,1.793,15000,4000,73(좋음),서울시보건환경연구원
성북천,지천,20220601,20.3,6.8,12.8,1.2,1.3,2.7,0.028,3.467,800,400,,서울시보건환경연구원
세곡천a,지천,20220601,24,7.8,7.5,3.6,3.915,7.1,0.168,2.842,460000,97000,70(좋음),서울시보건환경연구원
세곡천b,지천,20220601,19.6,8.5,7.1,2.4,3.585,13.4,0.154,2.653,460000,250000,70(좋음),서울시보건환경연구원
안양천9,지천,20220601,23.9,7.7,7.3,4.9,11.4,86.3,0.315,6.146,3800,1900,,한강물환경 연구소
안양천10,지천,20220601,25.5,8.2,8.3,1.9,5.2,36.6,0.158,5.421,11000,2200,,서울시보건환경연구원
안양천a,지천,20220601,25,7.11,6.06,1.6,5,0.9,0.064,5.297,10000,5400,68(보통),서울시보건환경연구원
안양천b,지천,20220601,25,7.24,6.77,1.7,5,3.4,0.063,6.528,5400,4800,68(보통),서울시보건환경연구원
안양천c,지천,20220601,25.6,7.62,5.56,1.7,4.6,3.4,0.082,5.042,5200,1600,68(보통),서울시보건환경연구원
암사,한강본류,20220601,20.7,7.9,8.5,0.7,1.9,5.4,0.029,1.888,200000,5500,,한강유역환경청
양재천2,지천,20220601,21.8,7.3,7.9,1.6,3.2,15.5,0.186,5.597,4100,1100,,서울시보건환경연구원
양재천a,지천,20220601,23.4,7.8,6.9,4,3.371,15,0.14,2.652,400000,110000,70(좋음),서울시보건환경연구원
여의천,지천,20220601,22.5,7.7,8,2.1,3.728,6.2,0.176,4.869,220000,85000,68(보통),서울시보건환경연구원
영등포,한강본류,20220601,21.9,8,9.4,0.9,2.9,18.6,0.066,3.199,21000,580,,한강유역환경청
